FeatureCode,DateCode,Measurement,Units,Value,Gender,Working Pattern
S12000035,2018-Q2,95% Upper Confidence Limit,Percentage Of People Employed,11.4,Male,Part Time
S12000035,2018-Q2,Ratio,Percentage Of People Employed,8.3,Male,Part Time
S12000014,2007-Q3,Count,People,3300,Male,Part Time
S12000014,2006-Q3,Count,People,3100,Male,Part Time
S12000035,2011-Q3,95% Lower Confidence Limit,Percentage Of People Employed,78.5,Male,Full Time
S12000035,2004-Q4,95% Upper Confidence Limit,Percentage Of People Employed,92,Male,Full Time
S12000014,2017-Q2,Count,People,3500,Male,Part Time
S12000035,2013-Q2,95% Lower Confidence Limit,Percentage Of People Employed,9.1,Male,Part Time
S12000014,2008-Q2,Count,People,2600,Male,Part Time
S12000035,2010-Q3,95% Lower Confidence Limit,Percentage Of People Employed,83.8,Male,Full Time
S12000035,2014-Q2,95% Lower Confidence Limit,Percentage Of People Employed,11.1,Male,Part Time
S12000035,2005-Q4,95% Upper Confidence Limit,Percentage Of People Employed,93.6,Male,Full Time
S12000035,2009-Q3,95% Lower Confidence Limit,Percentage Of People Employed,83.2,Male,Full Time
S12000014,2012-Q3,Count,People,3300,Male,Part Time
S12000014,2009-Q3,Count,People,3100,Male,Part Time
S12000014,2010-Q3,Count,People,3900,Male,Part Time
S12000014,2008-Q3,Count,People,2700,Male,Part Time
S12000014,2011-Q3,Count,People,4900,Male,Part Time
S12000035,2006-Q4,95% Lower Confidence Limit,Percentage Of People Employed,88.2,Male,Full Time
S12000035,2011-Q2,95% Lower Confidence Limit,Percentage Of People Employed,12.3,Male,Part Time
S12000014,2018-Q4,Count,People,36900,Male,Full Time
S12000014,2011-Q2,Count,People,5000,Male,Part Time
S12000014,2018-Q4,Ratio,Percentage Of People Employed,91.6,Male,Full Time
S12000035,2005-Q1,95% Lower Confidence Limit,Percentage Of People Employed,7.6,Male,Part Time
S12000035,2008-Q1,95% Lower Confidence Limit,Percentage Of People Employed,7.5,Male,Part Time
S12000035,2018-Q3,95% Upper Confidence Limit,Percentage Of People Employed,12.6,Male,Part Time
S12000014,2010-Q2,Count,People,3900,Male,Part Time
S12000035,2018-Q4,Ratio,Percentage Of People Employed,11.1,Male,Part Time
S12000014,2012-Q2,Count,People,3600,Male,Part Time
S12000035,2011-Q4,95% Lower Confidence Limit,Percentage Of People Employed,81.2,Male,Full Time
S12000035,2008-Q2,95% Lower Confidence Limit,Percentage Of People Employed,7.4,Male,Part Time
S12000035,2009-Q2,95% Lower Confidence Limit,Percentage Of People Employed,8.7,Male,Part Time
S12000035,2012-Q2,95% Lower Confidence Limit,Percentage Of People Employed,12.6,Male,Part Time
S12000014,2018-Q4,95% Upper Confidence Limit,Percentage Of People Employed,94.8,Male,Full Time
S12000014,2015-Q2,Count,People,3500,Male,Part Time
S12000035,2012-Q4,95% Lower Confidence Limit,Percentage Of People Employed,78.5,Male,Full Time
S12000014,2008-Q4,Count,People,2700,Male,Part Time
S12000035,2012-Q4,Ratio,Percentage Of People Employed,16.6,Male,Part Time
S12000035,2006-Q1,Ratio,Percentage Of People Employed,7.6,Male,Part Time
S12000035,2005-Q2,95% Lower Confidence Limit,Percentage Of People Employed,87.3,Male,Full Time
S12000014,2009-Q4,Count,People,3100,Male,Part Time
S12000035,2006-Q2,95% Lower Confidence Limit,Percentage Of People Employed,88.7,Male,Full Time
S12000035,2011-Q4,Ratio,Percentage Of People Employed,15,Male,Part Time
S12000014,2005-Q2,95% Lower Confidence Limit,Percentage Of People Employed,4.7,Male,Part Time
S12000035,2018-Q3,Count,People,2000,Male,Part Time
S12000035,2018-Q1,Ratio,Percentage Of People Employed,11,Male,Part Time
S12000035,2018-Q4,95% Upper Confidence Limit,Percentage Of People Employed,14.8,Male,Part Time
S12000035,2016-Q4,Ratio,Percentage Of People Employed,13.1,Male,Part Time
S12000035,2015-Q4,Ratio,Percentage Of People Employed,15.9,Male,Part Time
S12000014,2011-Q4,Count,People,4700,Male,Part Time
S12000014,2010-Q4,Count,People,3800,Male,Part Time
S12000035,2019-Q1,95% Upper Confidence Limit,Percentage Of People Employed,92.4,Male,Full Time
S12000035,2014-Q4,Ratio,Percentage Of People Employed,15.1,Male,Part Time
S12000035,2005-Q4,Ratio,Percentage Of People Employed,8.7,Male,Part Time
S12000035,2012-Q1,95% Upper Confidence Limit,Percentage Of People Employed,86.6,Male,Full Time
S12000014,2017-Q1,95% Lower Confidence Limit,Percentage Of People Employed,6,Male,Part Time
S12000035,2009-Q4,Ratio,Percentage Of People Employed,11.8,Male,Part Time
S12000014,2013-Q1,95% Lower Confidence Limit,Percentage Of People Employed,7.3,Male,Part Time
S12000035,2012-Q3,Ratio,Percentage Of People Employed,84.1,Male,Full Time
S12000014,2005-Q3,Count,People,36200,Male,Full Time
S12000014,2008-Q2,95% Lower Confidence Limit,Percentage Of People Employed,91.1,Male,Full Time
S12000014,2017-Q4,Count,People,38100,Male,Full Time
S12000014,2016-Q4,95% Lower Confidence Limit,Percentage Of People Employed,6.4,Male,Part Time
S12000035,2013-Q4,Ratio,Percentage Of People Employed,13.3,Male,Part Time
S12000014,2006-Q2,95% Lower Confidence Limit,Percentage Of People Employed,3.9,Male,Part Time
S12000035,2010-Q4,Ratio,Percentage Of People Employed,15.6,Male,Part Time
S12000014,2004-Q4,95% Lower Confidence Limit,Percentage Of People Employed,4.2,Male,Part Time
S12000035,2007-Q4,Ratio,Percentage Of People Employed,9.7,Male,Part Time
S12000014,2008-Q2,95% Lower Confidence Limit,Percentage Of People Employed,4.2,Male,Part Time
S12000014,2007-Q2,95% Lower Confidence Limit,Percentage Of People Employed,5.4,Male,Part Time
S12000035,2012-Q3,Count,People,3300,Male,Part Time
S12000035,2017-Q1,95% Upper Confidence Limit,Percentage Of People Employed,91.6,Male,Full Time
S12000035,2006-Q1,95% Upper Confidence Limit,Percentage Of People Employed,94.6,Male,Full Time
S12000014,2019-Q2,95% Upper Confidence Limit,Percentage Of People Employed,94.3,Male,Full Time
S12000014,2019-Q2,95% Lower Confidence Limit,Percentage Of People Employed,87.4,Male,Full Time
S12000035,2006-Q2,Ratio,Percentage Of People Employed,91.4,Male,Full Time
S12000035,2007-Q2,Ratio,Percentage Of People Employed,88.5,Male,Full Time
S12000035,2013-Q3,Count,People,2900,Male,Part Time
S12000014,2007-Q4,Count,People,3600,Male,Part Time
S12000035,2016-Q3,Ratio,Percentage Of People Employed,84.9,Male,Full Time
S12000035,2017-Q3,Ratio,Percentage Of People Employed,86,Male,Full Time
S12000035,2019-Q1,Count,People,18500,Male,Full Time
S12000014,2019-Q1,Count,People,36800,Male,Full Time
S12000035,2016-Q3,Count,People,3300,Male,Part Time
S12000035,2011-Q3,Count,People,3800,Male,Part Time
S12000035,2007-Q2,95% Lower Confidence Limit,Percentage Of People Employed,85.3,Male,Full Time
S12000035,2010-Q3,Count,People,2700,Male,Part Time
S12000014,2006-Q1,Count,People,2400,Male,Part Time
S12000035,2017-Q4,Ratio,Percentage Of People Employed,12,Male,Part Time
S12000014,2011-Q1,Count,People,4400,Male,Part Time
S12000035,2017-Q4,Ratio,Percentage Of People Employed,87.8,Male,Full Time
S12000035,2005-Q2,Ratio,Percentage Of People Employed,90.2,Male,Full Time
S12000035,2017-Q4,95% Lower Confidence Limit,Percentage Of People Employed,84.3,Male,Full Time
S12000014,2009-Q1,Count,People,2300,Male,Part Time
S12000014,2013-Q1,Count,People,4000,Male,Part Time
S12000014,2012-Q1,Count,People,4300,Male,Part Time
S12000035,2013-Q4,Ratio,Percentage Of People Employed,85.1,Male,Full Time
S12000035,2014-Q4,Ratio,Percentage Of People Employed,83.5,Male,Full Time
S12000014,2006-Q4,Count,People,3100,Male,Part Time
S12000014,2004-Q4,Count,People,2500,Male,Part Time
S12000035,2018-Q4,95% Lower Confidence Limit,Percentage Of People Employed,7.4,Male,Part Time
S12000014,2007-Q1,Count,People,3100,Male,Part Time
S12000014,2005-Q1,Count,People,2500,Male,Part Time
S12000014,2008-Q1,Count,People,3300,Male,Part Time
S12000035,2005-Q1,95% Lower Confidence Limit,Percentage Of People Employed,86.3,Male,Full Time
S12000035,2008-Q1,95% Lower Confidence Limit,Percentage Of People Employed,86.7,Male,Full Time
S12000035,2004-Q4,95% Lower Confidence Limit,Percentage Of People Employed,8,Male,Part Time
S12000014,2010-Q1,95% Lower Confidence Limit,Percentage Of People Employed,87.8,Male,Full Time
S12000014,2009-Q1,95% Lower Confidence Limit,Percentage Of People Employed,91.7,Male,Full Time
S12000035,2012-Q4,95% Lower Confidence Limit,Percentage Of People Employed,12.4,Male,Part Time
S12000014,2011-Q1,95% Upper Confidence Limit,Percentage Of People Employed,91.5,Male,Full Time
S12000014,2005-Q1,95% Lower Confidence Limit,Percentage Of People Employed,90.9,Male,Full Time
S12000014,2016-Q1,95% Lower Confidence Limit,Percentage Of People Employed,86.8,Male,Full Time
S12000035,2019-Q2,95% Upper Confidence Limit,Percentage Of People Employed,15.5,Male,Part Time
S12000035,2016-Q4,95% Lower Confidence Limit,Percentage Of People Employed,83,Male,Full Time
S12000014,2017-Q1,95% Lower Confidence Limit,Percentage Of People Employed,87.7,Male,Full Time
S12000014,2015-Q1,95% Lower Confidence Limit,Percentage Of People Employed,86,Male,Full Time
S12000035,2010-Q4,95% Lower Confidence Limit,Percentage Of People Employed,12,Male,Part Time
S12000035,2007-Q1,95% Lower Confidence Limit,Percentage Of People Employed,86.1,Male,Full Time
S12000035,2007-Q4,95% Lower Confidence Limit,Percentage Of People Employed,6.8,Male,Part Time
S12000035,2009-Q4,95% Lower Confidence Limit,Percentage Of People Employed,8.6,Male,Part Time
S12000014,2008-Q1,95% Lower Confidence Limit,Percentage Of People Employed,89,Male,Full Time
S12000014,2017-Q1,95% Upper Confidence Limit,Percentage Of People Employed,94,Male,Full Time
S12000014,2004-Q4,95% Upper Confidence Limit,Percentage Of People Employed,95.8,Male,Full Time
S12000035,2009-Q4,95% Lower Confidence Limit,Percentage Of People Employed,84.4,Male,Full Time
S12000014,2016-Q1,95% Upper Confidence Limit,Percentage Of People Employed,93.3,Male,Full Time
S12000035,2013-Q1,95% Lower Confidence Limit,Percentage Of People Employed,79.5,Male,Full Time
S12000035,2009-Q1,95% Lower Confidence Limit,Percentage Of People Employed,83.9,Male,Full Time
S12000035,2011-Q3,95% Lower Confidence Limit,Percentage Of People Employed,13.7,Male,Part Time
S12000014,2012-Q1,95% Upper Confidence Limit,Percentage Of People Employed,92,Male,Full Time
S12000035,2007-Q4,95% Upper Confidence Limit,Percentage Of People Employed,93.2,Male,Full Time
S12000035,2006-Q4,95% Lower Confidence Limit,Percentage Of People Employed,6.2,Male,Part Time
S12000014,2013-Q1,95% Upper Confidence Limit,Percentage Of People Employed,92.7,Male,Full Time
S12000035,2018-Q1,95% Lower Confidence Limit,Percentage Of People Employed,7.7,Male,Part Time
S12000035,2017-Q1,95% Lower Confidence Limit,Percentage Of People Employed,8.4,Male,Part Time
S12000035,2012-Q1,95% Lower Confidence Limit,Percentage Of People Employed,78.3,Male,Full Time
S12000014,2015-Q1,95% Upper Confidence Limit,Percentage Of People Employed,92.2,Male,Full Time
S12000035,2016-Q1,95% Lower Confidence Limit,Percentage Of People Employed,11.4,Male,Part Time
S12000014,2014-Q1,95% Upper Confidence Limit,Percentage Of People Employed,92.6,Male,Full Time
S12000035,2012-Q2,95% Upper Confidence Limit,Percentage Of People Employed,87.4,Male,Full Time
S12000014,2013-Q4,95% Upper Confidence Limit,Percentage Of People Employed,91.7,Male,Full Time
S12000035,2008-Q2,Ratio,Percentage Of People Employed,89.7,Male,Full Time
S12000035,2014-Q2,Ratio,Percentage Of People Employed,83.2,Male,Full Time
S12000014,2012-Q4,95% Upper Confidence Limit,Percentage Of People Employed,93.7,Male,Full Time
S12000035,2017-Q3,95% Lower Confidence Limit,Percentage Of People Employed,10.2,Male,Part Time
S12000014,2007-Q1,95% Lower Confidence Limit,Percentage Of People Employed,89.5,Male,Full Time
S12000014,2018-Q3,95% Upper Confidence Limit,Percentage Of People Employed,95.3,Male,Full Time
S12000035,2009-Q2,Ratio,Percentage Of People Employed,87.2,Male,Full Time
S12000014,2008-Q4,95% Upper Confidence Limit,Percentage Of People Employed,95.6,Male,Full Time
S12000014,2009-Q4,95% Upper Confidence Limit,Percentage Of People Employed,94.7,Male,Full Time
S12000014,2007-Q4,95% Upper Confidence Limit,Percentage Of People Employed,93.6,Male,Full Time
S12000035,2006-Q1,95% Lower Confidence Limit,Percentage Of People Employed,89.4,Male,Full Time
S12000014,2011-Q4,95% Upper Confidence Limit,Percentage Of People Employed,91.2,Male,Full Time
S12000035,2013-Q2,95% Upper Confidence Limit,Percentage Of People Employed,89.1,Male,Full Time
S12000014,2010-Q4,95% Upper Confidence Limit,Percentage Of People Employed,92.4,Male,Full Time
S12000014,2014-Q4,95% Upper Confidence Limit,Percentage Of People Employed,92.6,Male,Full Time
S12000014,2018-Q2,95% Lower Confidence Limit,Percentage Of People Employed,90.3,Male,Full Time
S12000014,2018-Q3,Count,People,36800,Male,Full Time
S12000035,2013-Q4,95% Lower Confidence Limit,Percentage Of People Employed,9.7,Male,Part Time
S12000014,2019-Q1,95% Lower Confidence Limit,Percentage Of People Employed,88.8,Male,Full Time
S12000035,2013-Q4,95% Lower Confidence Limit,Percentage Of People Employed,81.4,Male,Full Time
S12000014,2004-Q4,95% Lower Confidence Limit,Percentage Of People Employed,91,Male,Full Time
S12000035,2011-Q2,Count,People,18300,Male,Full Time
S12000035,2011-Q4,95% Lower Confidence Limit,Percentage Of People Employed,11.2,Male,Part Time
S12000035,2008-Q4,95% Lower Confidence Limit,Percentage Of People Employed,8.9,Male,Part Time
S12000035,2012-Q2,Ratio,Percentage Of People Employed,83.3,Male,Full Time
S12000035,2016-Q3,95% Lower Confidence Limit,Percentage Of People Employed,11.1,Male,Part Time
S12000014,2018-Q2,95% Upper Confidence Limit,Percentage Of People Employed,96,Male,Full Time
S12000035,2015-Q2,Ratio,Percentage Of People Employed,84.7,Male,Full Time
S12000014,2019-Q1,95% Upper Confidence Limit,Percentage Of People Employed,95.3,Male,Full Time
S12000035,2014-Q4,95% Lower Confidence Limit,Percentage Of People Employed,11.3,Male,Part Time
S12000014,2006-Q1,95% Lower Confidence Limit,Percentage Of People Employed,91.5,Male,Full Time
S12000035,2015-Q3,95% Lower Confidence Limit,Percentage Of People Employed,9.7,Male,Part Time
S12000035,2014-Q1,95% Lower Confidence Limit,Percentage Of People Employed,80.7,Male,Full Time
S12000035,2017-Q1,95% Lower Confidence Limit,Percentage Of People Employed,84,Male,Full Time
S12000035,2014-Q3,95% Lower Confidence Limit,Percentage Of People Employed,10.7,Male,Part Time
S12000035,2018-Q1,95% Lower Confidence Limit,Percentage Of People Employed,85.4,Male,Full Time
S12000014,2008-Q1,95% Upper Confidence Limit,Percentage Of People Employed,94.3,Male,Full Time
S12000014,2010-Q1,95% Upper Confidence Limit,Percentage Of People Employed,93.6,Male,Full Time
S12000035,2005-Q4,95% Lower Confidence Limit,Percentage Of People Employed,88.1,Male,Full Time
S12000014,2007-Q1,95% Upper Confidence Limit,Percentage Of People Employed,94.6,Male,Full Time
S12000035,2016-Q1,95% Lower Confidence Limit,Percentage Of People Employed,80.6,Male,Full Time
S12000035,2009-Q3,95% Lower Confidence Limit,Percentage Of People Employed,9.3,Male,Part Time
S12000014,2009-Q1,95% Upper Confidence Limit,Percentage Of People Employed,96.3,Male,Full Time
S12000035,2010-Q2,95% Lower Confidence Limit,Percentage Of People Employed,82.7,Male,Full Time
S12000014,2005-Q1,95% Upper Confidence Limit,Percentage Of People Employed,95.8,Male,Full Time
S12000014,2006-Q1,95% Upper Confidence Limit,Percentage Of People Employed,96,Male,Full Time
S12000035,2008-Q3,95% Lower Confidence Limit,Percentage Of People Employed,8.3,Male,Part Time
S12000035,2013-Q3,95% Lower Confidence Limit,Percentage Of People Employed,10.1,Male,Part Time
S12000035,2010-Q1,95% Lower Confidence Limit,Percentage Of People Employed,84.7,Male,Full Time
S12000035,2007-Q1,95% Lower Confidence Limit,Percentage Of People Employed,7.7,Male,Part Time
S12000014,2007-Q2,Count,People,3100,Male,Part Time
S12000014,2015-Q3,Count,People,3200,Male,Part Time
S12000014,2016-Q4,Count,People,4100,Male,Part Time
S12000035,2006-Q3,Count,People,21400,Male,Full Time
S12000035,2012-Q4,95% Upper Confidence Limit,Percentage Of People Employed,86.9,Male,Full Time
S12000035,2011-Q4,95% Upper Confidence Limit,Percentage Of People Employed,88.8,Male,Full Time
S12000035,2007-Q3,Count,People,20600,Male,Full Time
S12000014,2005-Q2,Count,People,2700,Male,Part Time
S12000035,2004-Q4,95% Lower Confidence Limit,Percentage Of People Employed,85.6,Male,Full Time
S12000035,2007-Q4,95% Lower Confidence Limit,Percentage Of People Employed,87.5,Male,Full Time
S12000014,2013-Q3,Count,People,4400,Male,Part Time
S12000014,2016-Q3,Count,People,3700,Male,Part Time
S12000014,2014-Q3,Count,People,4400,Male,Part Time
S12000035,2005-Q3,Count,People,19900,Male,Full Time
S12000014,2017-Q3,Count,People,3200,Male,Part Time
S12000035,2016-Q2,Count,People,18800,Male,Full Time
S12000035,2016-Q4,95% Lower Confidence Limit,Percentage Of People Employed,9.3,Male,Part Time
S12000014,2007-Q3,95% Upper Confidence Limit,Percentage Of People Employed,94.3,Male,Full Time
S12000035,2006-Q2,95% Lower Confidence Limit,Percentage Of People Employed,5.6,Male,Part Time
S12000014,2017-Q2,95% Upper Confidence Limit,Percentage Of People Employed,94.6,Male,Full Time
S12000035,2008-Q4,95% Lower Confidence Limit,Percentage Of People Employed,84.5,Male,Full Time
S12000035,2010-Q3,95% Lower Confidence Limit,Percentage Of People Employed,9.5,Male,Part Time
S12000014,2008-Q3,95% Upper Confidence Limit,Percentage Of People Employed,95.6,Male,Full Time
S12000014,2006-Q3,95% Upper Confidence Limit,Percentage Of People Employed,94.6,Male,Full Time
S12000014,2013-Q2,95% Upper Confidence Limit,Percentage Of People Employed,91.5,Male,Full Time
S12000035,2006-Q4,95% Upper Confidence Limit,Percentage Of People Employed,93.8,Male,Full Time
S12000035,2017-Q4,95% Lower Confidence Limit,Percentage Of People Employed,8.6,Male,Part Time
S12000014,2012-Q2,95% Upper Confidence Limit,Percentage Of People Employed,93.2,Male,Full Time
S12000035,2011-Q1,95% Lower Confidence Limit,Percentage Of People Employed,79.8,Male,Full Time
S12000014,2016-Q2,95% Upper Confidence Limit,Percentage Of People Employed,93.1,Male,Full Time
S12000014,2015-Q2,95% Upper Confidence Limit,Percentage Of People Employed,93.8,Male,Full Time
S12000014,2014-Q2,95% Upper Confidence Limit,Percentage Of People Employed,92.8,Male,Full Time
S12000035,2015-Q4,95% Lower Confidence Limit,Percentage Of People Employed,11.7,Male,Part Time
S12000014,2008-Q2,95% Upper Confidence Limit,Percentage Of People Employed,95.8,Male,Full Time
S12000014,2007-Q2,95% Upper Confidence Limit,Percentage Of People Employed,94.6,Male,Full Time
S12000035,2016-Q2,95% Lower Confidence Limit,Percentage Of People Employed,81.5,Male,Full Time
S12000014,2006-Q2,95% Upper Confidence Limit,Percentage Of People Employed,96.1,Male,Full Time
S12000035,2015-Q1,95% Lower Confidence Limit,Percentage Of People Employed,80,Male,Full Time
S12000035,2009-Q2,95% Lower Confidence Limit,Percentage Of People Employed,83.9,Male,Full Time
S12000014,2017-Q2,95% Lower Confidence Limit,Percentage Of People Employed,88.3,Male,Full Time
S12000014,2011-Q2,95% Upper Confidence Limit,Percentage Of People Employed,90.5,Male,Full Time
S12000035,2017-Q2,95% Lower Confidence Limit,Percentage Of People Employed,81,Male,Full Time
S12000035,2007-Q2,95% Lower Confidence Limit,Percentage Of People Employed,8.3,Male,Part Time
S12000014,2010-Q2,95% Upper Confidence Limit,Percentage Of People Employed,92.3,Male,Full Time
S12000035,2005-Q2,95% Lower Confidence Limit,Percentage Of People Employed,7,Male,Part Time
S12000014,2016-Q4,95% Upper Confidence Limit,Percentage Of People Employed,93.3,Male,Full Time
S12000014,2005-Q2,95% Upper Confidence Limit,Percentage Of People Employed,95.3,Male,Full Time
S12000014,2015-Q4,95% Upper Confidence Limit,Percentage Of People Employed,93.5,Male,Full Time
S12000035,2011-Q2,95% Lower Confidence Limit,Percentage Of People Employed,80.5,Male,Full Time
S12000035,2012-Q2,95% Lower Confidence Limit,Percentage Of People Employed,79.3,Male,Full Time
S12000017,2013-Q2,95% Upper Confidence Limit,Percentage Of People Employed,20.8,Male,Part Time
S12000034,2010-Q2,95% Lower Confidence Limit,Percentage Of People Employed,4.5,Male,Part Time
S12000017,2012-Q3,Ratio,Percentage Of People Employed,15,Male,Part Time
S12000034,2014-Q2,95% Lower Confidence Limit,Percentage Of People Employed,5.1,Male,Part Time
S12000017,2012-Q2,95% Upper Confidence Limit,Percentage Of People Employed,18.4,Male,Part Time
S12000017,2010-Q4,95% Upper Confidence Limit,Percentage Of People Employed,15.1,Male,Part Time
S12000017,2013-Q4,95% Upper Confidence Limit,Percentage Of People Employed,20.1,Male,Part Time
S12000034,2013-Q2,95% Lower Confidence Limit,Percentage Of People Employed,9.3,Male,Part Time
S12000034,2015-Q2,95% Lower Confidence Limit,Percentage Of People Employed,5.7,Male,Part Time
S12000014,2010-Q3,95% Lower Confidence Limit,Percentage Of People Employed,7,Male,Part Time
S12000014,2009-Q4,95% Lower Confidence Limit,Percentage Of People Employed,5.3,Male,Part Time
S12000014,2008-Q1,95% Lower Confidence Limit,Percentage Of People Employed,5.7,Male,Part Time
S12000014,2005-Q4,95% Upper Confidence Limit,Percentage Of People Employed,96.8,Male,Full Time
S12000014,2011-Q4,95% Lower Confidence Limit,Percentage Of People Employed,8.8,Male,Part Time
S12000034,2006-Q2,95% Lower Confidence Limit,Percentage Of People Employed,5.7,Male,Part Time
S12000014,2010-Q3,95% Upper Confidence Limit,Percentage Of People Employed,92.5,Male,Full Time
S12000034,2005-Q2,95% Lower Confidence Limit,Percentage Of People Employed,5.6,Male,Part Time
S12000034,2008-Q2,95% Lower Confidence Limit,Percentage Of People Employed,6.4,Male,Part Time
S12000034,2011-Q1,95% Upper Confidence Limit,Percentage Of People Employed,14,Male,Part Time
S12000034,2012-Q1,95% Upper Confidence Limit,Percentage Of People Employed,13.8,Male,Part Time
S12000034,2015-Q1,95% Upper Confidence Limit,Percentage Of People Employed,13,Male,Part Time
S12000017,2012-Q4,95% Upper Confidence Limit,Percentage Of People Employed,19.9,Male,Part Time
S12000017,2018-Q3,95% Lower Confidence Limit,Percentage Of People Employed,10.5,Male,Part Time
S12000017,2013-Q4,Ratio,Percentage Of People Employed,83.9,Male,Full Time
S12000034,2010-Q1,95% Upper Confidence Limit,Percentage Of People Employed,9.8,Male,Part Time
S12000017,2011-Q2,Ratio,Percentage Of People Employed,85.7,Male,Full Time
S12000017,2014-Q4,Ratio,Percentage Of People Employed,86.3,Male,Full Time
S12000017,2017-Q4,95% Upper Confidence Limit,Percentage Of People Employed,17.8,Male,Part Time
S12000034,2007-Q1,95% Upper Confidence Limit,Percentage Of People Employed,11.6,Male,Part Time
S12000034,2013-Q1,95% Upper Confidence Limit,Percentage Of People Employed,16.5,Male,Part Time
S12000017,2011-Q4,95% Upper Confidence Limit,Percentage Of People Employed,19.5,Male,Part Time
S12000034,2014-Q1,95% Upper Confidence Limit,Percentage Of People Employed,12.3,Male,Part Time
S12000034,2009-Q1,95% Upper Confidence Limit,Percentage Of People Employed,12.1,Male,Part Time
S12000017,2011-Q2,95% Upper Confidence Limit,Percentage Of People Employed,17.6,Male,Part Time
S12000017,2010-Q2,95% Upper Confidence Limit,Percentage Of People Employed,14.9,Male,Part Time
S12000014,2015-Q2,95% Lower Confidence Limit,Percentage Of People Employed,6,Male,Part Time
S12000034,2016-Q1,Ratio,Percentage Of People Employed,92.9,Male,Full Time
S12000034,2018-Q1,Ratio,Percentage Of People Employed,93.7,Male,Full Time
S12000034,2015-Q4,Ratio,Percentage Of People Employed,93.2,Male,Full Time
S12000014,2016-Q2,95% Lower Confidence Limit,Percentage Of People Employed,6.4,Male,Part Time
S12000034,2017-Q1,Ratio,Percentage Of People Employed,92.2,Male,Full Time
S12000034,2012-Q1,Count,People,7700,Male,Part Time
S12000034,2016-Q4,Ratio,Percentage Of People Employed,90.8,Male,Full Time
S12000014,2015-Q3,95% Upper Confidence Limit,Percentage Of People Employed,94.5,Male,Full Time
S12000014,2017-Q3,95% Upper Confidence Limit,Percentage Of People Employed,95.2,Male,Full Time
S12000035,2011-Q3,95% Upper Confidence Limit,Percentage Of People Employed,86.3,Male,Full Time
S12000014,2013-Q3,95% Upper Confidence Limit,Percentage Of People Employed,91.4,Male,Full Time
S12000014,2016-Q3,95% Upper Confidence Limit,Percentage Of People Employed,93.9,Male,Full Time
S12000035,2005-Q3,Ratio,Percentage Of People Employed,89.7,Male,Full Time
S12000014,2014-Q3,95% Upper Confidence Limit,Percentage Of People Employed,92.2,Male,Full Time
S12000014,2007-Q3,95% Lower Confidence Limit,Percentage Of People Employed,5.7,Male,Part Time
S12000035,2018-Q4,Count,People,19300,Male,Full Time
S12000014,2009-Q1,95% Lower Confidence Limit,Percentage Of People Employed,3.6,Male,Part Time
S12000014,2018-Q3,95% Lower Confidence Limit,Percentage Of People Employed,89.2,Male,Full Time
